Wavlength (nm)	Coastal blue	Blue 475	green 531	Green 560	Red 650	Red 668	RedEdge 705	RedEdge 717	RedEdge 740	NIR
719	7.08E-117	9.81096E-71	7.332E-218	3.19538E-42	4.03822E-23	1.04915E-16	0.004364403	0.925874712	0.022964601	2.74471E-06
720	1.0087E-117	2.61034E-71	3.5411E-220	9.53385E-43	8.96171E-24	2.44376E-17	0.001953125	0.840896415	0.032616107	3.38007E-06
721	1.427E-118	6.90766E-72	1.6625E-222	2.823E-43	1.94619E-24	5.53343E-18	0.0008269	0.734867246	0.045537846	4.15541E-06
722	2.0046E-119	1.81808E-72	7.5875E-225	8.29564E-44	4.1359E-25	1.21799E-18	0.000331202	0.617947233	0.0625	5.09989E-06
723	2.7961E-120	4.75931E-73	3.3663E-227	2.41928E-44	8.60101E-26	2.60619E-19	0.000125502	0.5	0.084324681	6.24837E-06
724	3.8726E-121	1.23914E-73	1.4518E-229	7.00193E-45	1.75033E-26	5.42101E-20	4.49911E-05	0.389282363	0.111839845	7.64243E-06
725	5.3257E-122	3.20884E-74	6.0868E-232	2.01116E-45	3.48566E-27	1.09615E-20	1.52588E-05	0.29163226	0.14581613	9.33157E-06
726	7.2726E-123	8.26463E-75	2.4807E-234	5.73286E-46	6.79271E-28	2.15461E-21	4.89588E-06	0.210224104	0.186888139	1.13746E-05
727	9.861E-124	2.11713E-75	9.8284E-237	1.62178E-46	1.29537E-28	4.11702E-22	1.48614E-06	0.14581613	0.2354643	1.38413E-05
728	1.3277E-124	5.39409E-76	3.7853E-239	4.55314E-47	2.41733E-29	7.64734E-23	4.26781E-07	0.097320591	0.29163226	1.68142E-05
729	1.7749E-125	1.3669E-76	1.4172E-241	1.2686E-47	4.4144E-30	1.38086E-23	1.1595E-07	0.0625	0.355069376	2.03909E-05
730	2.3561E-126	3.44513E-77	5.1579E-244	3.50782E-48	7.88861E-31	2.42384E-24	2.98023E-08	0.038621702	0.424969762	2.46861E-05
731	3.1056E-127	8.63617E-78	1.8249E-246	9.62597E-49	1.3795E-31	4.1359E-25	7.24684E-09	0.022964601	0.5	2.98352E-05
732	4.0646E-128	2.1532E-78	6.2762E-249	2.62149E-49	2.36067E-32	6.8604E-26	1.66711E-09	0.013139006	0.578294603	3.59968E-05
733	5.2823E-129	5.33946E-79	2.0984E-251	7.08516E-50	3.95315E-33	1.10622E-26	3.62827E-10	0.007233396	0.657499512	4.33568E-05
734	6.8164E-130	1.31692E-79	6.8198E-254	1.90041E-50	6.47803E-34	1.73399E-27	7.47052E-11	0.003831758	0.734867246	5.21326E-05
735	8.7341E-131	3.23048E-80	2.1547E-256	5.05872E-51	1.03881E-34	2.6422E-28	1.45519E-11	0.001953125	0.807401417	6.25778E-05
736	1.1112E-131	7.88177E-81	6.6176E-259	1.33638E-51	1.63013E-35	3.91379E-29	2.68168E-12	0.00095794	0.872041764	7.49878E-05
737	1.4039E-132	1.91262E-81	1.9758E-261	3.50362E-52	2.50322E-36	5.63563E-30	4.67532E-13	0.000452087	0.925874712	8.97055E-05
738	1.7611E-133	4.61617E-82	5.7343E-264	9.11593E-53	3.76158E-37	7.88861E-31	7.7114E-14	0.000205297	0.966349711	0.000107129
739	2.1935E-134	1.10811E-82	1.6179E-266	2.35386E-53	5.53139E-38	1.07342E-31	1.2033E-14	8.97055E-05	0.991479137	0.000127718
740	2.713E-135	2.64566E-83	4.4373E-269	6.03194E-54	7.9596E-39	1.41989E-32	1.77636E-15	3.77165E-05	1	0.000152005
741	3.3318E-136	6.28248E-84	1.1831E-271	1.53402E-54	1.12083E-39	1.8258E-33	2.48088E-16	1.52588E-05	0.991479137	0.000180601
742	4.0629E-137	1.48381E-84	3.0662E-274	3.87168E-55	1.54448E-40	2.28224E-34	3.27791E-17	5.93998E-06	0.966349711	0.000214212
743	4.9195E-138	3.48555E-85	7.7253E-277	9.69762E-56	2.08266E-41	2.77323E-35	4.09739E-18	2.22498E-06	0.925874712	0.000253644
744	5.9148E-139	8.14356E-86	1.8921E-279	2.41061E-56	2.74819E-42	3.27583E-36	4.84546E-19	8.01941E-07	0.872041764	0.000299823
745	7.0613E-140	1.89237E-86	4.5048E-282	5.94684E-57	3.54868E-43	3.76158E-37	5.42101E-20	2.78122E-07	0.807401417	0.000353805
746	8.3706E-141	4.37365E-87	1.0426E-284	1.45593E-57	4.48416E-44	4.19887E-38	5.73777E-21	9.28121E-08	0.734867246	0.000416794
747	9.8527E-142	1.00538E-87	2.3458E-287	3.53748E-58	5.54481E-45	4.55626E-39	5.74544E-22	2.98023E-08	0.657499512	0.00049016
748	1.1516E-142	2.29862E-88	5.1307E-290	8.52987E-59	6.70944E-46	4.80614E-40	5.44279E-23	9.20813E-09	0.578294603	0.000575457
749	1.3364E-143	5.22697E-89	1.0908E-292	2.04121E-59	7.94471E-47	4.92831E-41	4.87795E-24	2.73759E-09	0.5	0.000674446
750	1.54E-144	1.18218E-89	2.2546E-295	4.84762E-60	9.20583E-48	4.91261E-42	4.1359E-25	7.83146E-10	0.424969762	0.000789114
751	1.7621E-145	2.65927E-90	4.5299E-298	1.14253E-60	1.04386E-48	4.76036E-43	3.31758E-26	2.15572E-10	0.355069376	0.000921703
752	2.0021E-146	5.94963E-91	8.8474E-301	2.6724E-61	1.15827E-49	4.48416E-44	2.51762E-27	5.70976E-11	0.29163226	0.001074735
753	2.2587E-147	1.32393E-91	1.6798E-303	6.20343E-62	1.25769E-50	4.10615E-45	1.80749E-28	1.45519E-11	0.2354643	0.001251037
754	2.5302E-148	2.93016E-92	3.1004E-306	1.42909E-62	1.33638E-51	3.65512E-46	1.22766E-29	3.5686E-12	0.186888139	0.001453778
755	2.8143E-149	6.45006E-93	0	3.26726E-63	1.38957E-52	3.16287E-47	7.88861E-31	8.42078E-13	0.14581613	0.001686494
756	3.1084E-150	1.41216E-93	0	7.41318E-64	1.41391E-53	2.66056E-48	4.79556E-32	1.91198E-13	0.111839845	0.001953125
757	3.4089E-151	3.07506E-94	0	1.66925E-64	1.40785E-54	2.1756E-49	2.75801E-33	4.17724E-14	0.084324681	0.002258053
758	3.7121E-152	6.65996E-95	0	3.73023E-65	1.37178E-55	1.72941E-50	1.50062E-34	8.78156E-15	0.0625	0.002606136
759	4.0139E-153	1.43462E-95	0	8.27266E-66	1.30799E-56	1.33638E-51	7.72434E-36	1.77636E-15	0.045537846	0.003002747
760	4.3096E-154	3.07362E-96	0	1.82076E-66	1.22044E-57	1.00387E-52	3.76158E-37	3.45752E-16	0.032616107	0.003453816
761	4.5944E-155	6.54957E-97	0	3.977E-67	1.11435E-58	7.33051E-54	1.733E-38	6.47554E-17	0.022964601	0.003965869
762	4.8635E-156	1.38811E-97	0	8.62094E-68	9.95682E-60	5.20362E-55	7.55339E-40	1.16698E-17	0.015894719	0.004546073
763	5.1122E-157	2.92605E-98	0	1.8546E-68	8.70587E-61	3.59079E-56	3.11461E-41	2.02361E-18	0.010814688	0.005202273
764	5.3356E-158	6.1346E-99	0	3.95953E-69	7.44897E-62	2.40872E-57	1.21502E-42	3.37649E-19	0.007233396	0.005943041
765	5.5296E-159	1.2792E-99	0	8.38944E-70	6.23697E-63	1.57071E-58	4.48416E-44	5.42101E-20	0.004755954	0.006777711
766	5.6903E-160	2.6531E-100	0	1.76408E-70	5.11026E-64	9.95682E-60	1.56565E-45	8.37475E-21	0.003073975	0.007716425
767	5.8143E-161	5.4726E-101	0	3.6813E-71	4.09738E-65	6.13561E-61	5.17164E-47	1.24491E-21	0.001953125	0.00877017
768	5.8992E-162	1.1228E-101	0	7.62394E-72	3.21486E-66	3.67542E-62	1.61614E-48	1.78067E-22	0.001219908	0.009950815
769	5.9431E-163	2.2911E-102	0	1.56695E-72	2.46837E-67	2.14028E-63	4.77799E-50	2.45077E-23	0.000749016	0.011271147
770	5.9452E-164	4.6499E-103	0	3.19615E-73	1.8546E-68	1.21156E-64	1.33638E-51	3.24563E-24	0.000452087	0.012744896
771	5.9053E-165	9.3861E-104	0	6.46986E-74	1.36359E-69	6.66706E-66	3.53617E-53	4.1359E-25	0.000268238	0.014386769
772	5.8244E-166	1.8844E-104	0	1.29975E-74	9.81096E-71	3.56645E-67	8.85226E-55	5.07129E-26	0.000156454	0.016212464
773	5.7041E-167	3.7628E-105	0	2.59132E-75	6.90766E-72	1.8546E-68	2.09649E-56	5.98333E-27	8.97055E-05	0.018238686
774	5.5469E-168	7.4732E-106	0	5.12719E-76	4.75931E-73	9.37517E-70	4.69729E-58	6.79271E-28	5.05614E-05	0.020483154
775	5.356E-169	1.4762E-106	0	1.00678E-76	3.20884E-74	4.60702E-71	9.95682E-60	7.42026E-29	2.80147E-05	0.022964601
776	5.1352E-170	2.9002E-107	0	1.96193E-77	2.11713E-75	2.20077E-72	1.99669E-61	7.79959E-30	1.52588E-05	0.02570276
777	4.8889E-171	5.6671E-108	0	3.7943E-78	1.3669E-76	1.02198E-73	3.78809E-63	7.88861E-31	8.16999E-06	0.028718343
778	4.6215E-172	1.1014E-108	0	7.28242E-79	8.63617E-78	4.6134E-75	6.79902E-65	7.67724E-32	4.30021E-06	0.032033013
779	4.338E-173	2.129E-109	0	1.38713E-79	5.33946E-79	2.02449E-76	1.15449E-66	7.18929E-33	2.22498E-06	0.03566933
780	4.0432E-174	4.0931E-110	0	2.62212E-80	3.23048E-80	8.63617E-78	1.8546E-68	6.47803E-34	1.13169E-06	0.039650704
